did,handle,display_name,created_at
did:plc:lpxsmao5tqprpwxlx4jyvqeu,jasonzinoman.bsky.social,Jason Zinoman,2023-06-11T20:22:15.131Z
did:plc:gcyzqzncdx5baatmeflwxfkh,esullivannyt.bsky.social,Eileen Sullivan,2025-01-21T15:55:09.044Z
did:plc:s4qxsuvvxuo72gpqoyhxnezl,risenc.bsky.social,Clay Risen,2024-11-21T01:37:47.372Z
did:plc:dtxwxb2zy2pgzenlm4ljhyb5,michaelkruse.bsky.social,Michael Kruse,2024-11-14T12:24:22.182Z
did:plc:owcsizryev3d4ehe5s4jvkb2,lmcgaughy.bsky.social,Lauren McGaughy,2024-11-07T04:37:52.978Z
did:plc:fqoiedutu4lfeadb5s6d4vgi,kchang.bsky.social,Kenneth Chang,2023-07-04T00:46:52.514Z
did:plc:dfyvadpfqliks77dxk7ewb6c,sherylnyt.bsky.social,Sheryl Gay Stolberg,2024-11-16T17:16:57.885Z
did:plc:a7lx4zo7ibxpkvmty6cww3ot,eavis.com,Peter Eavis,2024-05-01T17:43:46.768Z
did:plc:zogxbtj2d2n52hvazx22vqli,gettingviggy.bsky.social,Neil Vigdor,2025-02-19T19:05:26.646Z
did:plc:y7a3g5yqsfrcph5orcyrznji,pambelluck.bsky.social,Pam Belluck,2024-11-19T00:30:20.205Z
did:plc:xjfotlpe3m6vrfozgfm5glhz,dustinvolz.bsky.social,Dustin Volz,2023-05-04T21:35:39.273Z
did:plc:ejjgubnkhte2d7bgi22g3vpo,vikasbajaj.bsky.social,Vikas Bajaj,2024-11-14T16:45:28.931Z
did:plc:dfusrqmxigsd6pyrr4nymvhb,erschm.bsky.social,Eric Schmitt,2024-11-16T09:43:05.275Z
did:plc:m6wnty4blodpxctitmdikmxr,sapna.bsky.social,Sapna Maheshwari,2023-05-15T23:44:06.203Z
did:plc:5tpzxot6376arrg3wtt6q3th,johncarreyrou.bsky.social,John Carreyrou,2024-11-19T19:11:46.466Z
did:plc:gdt7cideynspmgtb7aaxq2fa,bykatiethomas.bsky.social,Katie Thomas,2024-11-11T02:24:29.578Z
did:plc:zg7yni45xtm2paxz5umvwlkc,la-ley.bsky.social,Ana Ley,2024-08-16T16:22:12.387Z
did:plc:qu5u32mm3vetl7hxtdktb4za,malachy.bsky.social,Malachy Browne,2023-05-31T16:05:40.745Z
did:plc:4un7qouf3j2jlbbstkud4uwk,reedabelson.bsky.social,Reed Abelson,2024-11-16T23:47:51.428Z
did:plc:wad5hpctkibztouxe6uxujsk,ellenbarry.bsky.social,Ellen Barry,2024-11-13T02:45:56.686Z
did:plc:rsjtovy2sp5hjnugx6q2jmqn,jonathanweisman.bsky.social,Jonathan Weisman,2024-11-12T13:28:03.305Z
did:plc:y65mfqh4akbraqmufyarkoiq,jkeefe.bsky.social,John Keefe,2023-07-31T17:17:17.933Z
did:plc:gwrhlws6wym5a3gkl4mhazb2,dodai.bsky.social,dodai,2023-05-04T00:21:44.684Z
did:plc:zqmge5vdvci6zqi46zy55oa4,maxinejoselow.bsky.social,Maxine Joselow,2024-11-26T19:34:44.146Z
did:plc:rwsmbu6y2koy2nuaht7tamdp,aimee-ortiz.bsky.social,Aimee Ortiz,2023-07-07T00:44:09.557Z
did:plc:xz2vpb4djogbafge6qbzmhtl,natashanyt.bsky.social,Natasha Singer,2023-11-28T20:19:51.673Z
did:plc:2i2jnwx65pcylcmmzrj2c7bw,nickconfessore.bsky.social,Nick Confessore,2024-11-27T18:02:55.845Z
did:plc:4ed5xhxl2cgoh2cmadjghljj,matthewhaag.bsky.social,Matthew Haag,2023-10-18T01:54:48.251Z
did:plc:57mx37xxmm3ldz3uslt3ewk2,ering.bsky.social,Erin Griffith,2023-04-27T19:39:27.614Z
