did,handle,followers_count,follows_count,posts_count,community
did:plc:lse7quaysss2d3xxm76mouhd,brianckeegan.com,4982,2448,3369,0
did:plc:hkcem5tysz26q2dyqhvztp7a,shanesnover.com,184,245,636,5
did:plc:uyemf6niinxjzirk7pbzzt3j,andrewdessler.com,26993,1331,9972,2
did:plc:qhjc3yvww236tqhjjjinrfhy,davidlapaglia.bsky.social,9,9,0,4
did:plc:lm33urnwwowxnja6vjwqc4u7,coloradopublic.bsky.social,4581,6,0,0
did:plc:fftccsn7drw2jsrrwepkptgw,thexylom.com,26678,579,1091,2
did:plc:qtjpurf5fsptp3dhi52kksl6,thenation.com,128837,499,2074,6
did:plc:yc7qtx2guh22ieh3fmwe3yhj,plos.org,15154,10,169,0
did:plc:yteysv5adlllg4e3xek3e3uk,jillian.bsky.social,19350,775,4529,1
did:plc:grwzs2cdy3vhhevhiudii7iy,mattnegrin.bsky.social,56653,722,2552,1
did:plc:tzy4hibtkautrntsz5f3ns37,juliusgoat.bsky.social,80736,639,12035,5
did:plc:nvusj322segb3rvo4qm7b3gs,piratepeel.bsky.social,1066,218,26,3
did:plc:6qdpxlntht3eiaeub26s3pkc,ajmillion.bsky.social,568,805,297,0
did:plc:l3u4cbuztzs3ip2ales7qfvu,amaramarasingam.bsky.social,24318,1241,871,1
did:plc:4pxxswmxelihfligwqyz3fqu,charlie.fish,610,150,147,0
did:plc:nmzxccryq7jev6jxb2venwfb,drbattlefisher.bsky.social,349,656,140,3
did:plc:ny5w2k6brb2kdubxnevke6li,brenttoderian.bsky.social,67167,1496,6089,1
did:plc:rs2nmueszvdmfgggvtz6hyu4,pieterma.es,67,800,4,0
did:plc:mlmouohgzbjofidukcp4pxf2,gbbranstetter.bsky.social,94464,921,9916,1
did:plc:4d3itn7jlp5a5x3bavpyormu,paigeblank.bsky.social,13601,1385,342,0
did:plc:o5zw65xslthoutzcd73nrerx,emilianodc.com,657,388,121,0
did:plc:7m4nyyvs5kgrwa6rkaa6nxyj,retrotechdreams.bsky.social,70951,38,2765,2
did:plc:uxvxorfwsfm7puqekczuyc5c,beckymasond.bsky.social,41,148,0,1
did:plc:lqyqnb653b75pxmpvhbe2lwn,chrisjvargo.bsky.social,31,52,12,0
did:plc:nsoddxud3lvsp4yqedde3vaf,wscherm.bsky.social,96,114,0,4
did:plc:em6yxobajemmzd6ntvyrlsz2,harucoryne.bsky.social,208,17,0,0
did:plc:qfebzdrfrpfwipshbykm7vgr,qian-zhang.bsky.social,12,27,0,3
did:plc:vpszre33mu6zxh4jpd7ojdcv,gildersleve.uk,457,653,45,2
did:plc:u3vfkommlkz66dy6icbyt4lb,tretnine.bsky.social,339,319,1899,0
did:plc:wwcpcdncaet26yzgicwirr4u,oshaer.bsky.social,44,90,0,4
did:plc:zjei2em3vjzv6xoosp7qeob3,getmoresmarter.com,71109,3728,3121,0
did:plc:itaulpgdtkjrxho2y7q5geh7,yalim.bsky.social,4035,3332,261,3
did:plc:erfdomqnsys3dcaweevtclxl,jknowles.bsky.social,96,171,59,1
did:plc:3z4ctzvnje6wpg2stjgudgpn,socarxiv.bsky.social,2098,469,171,0
did:plc:peyxuqa3dngdqufcrkretbjf,councilloralzubi.bsky.social,443,319,100,2
did:plc:qls7wfeu3anvk74p2hywc462,josephgalbo.bsky.social,3752,1562,2891,0
did:plc:awb53yhfco464fm6qz4a32zi,mass.streetsblog.org,4342,412,848,2
did:plc:s3iffb3ykjn7cas6g7es5b64,coloradofoic.bsky.social,7096,2686,614,0
did:plc:cvmmvawq5z2qxfhtu3umrx3f,jtauber.com,7559,2808,3864,0
did:plc:kjl5vdlkv32ujm4qjcul5bqx,jacksonmatthewo.bsky.social,712,53,4,3
did:plc:xxud55cvylh3ndcskpp3nmzy,ljlboulder.bsky.social,6440,6037,1404,0
did:plc:s7xw6pqvc72ha73bogjqp4m3,drewmca.net,1103,2202,846,4
did:plc:egwwkmzgex23fkmwdeq3x4kx,pedrolopes.org,1484,876,400,4
did:plc:mrzkurwfkul52ofdvpp7esgf,democracyforward.org,106154,235,1510,1
did:plc:xnhikac3aonuoeg6amhwrutx,kateclancy.bsky.social,20256,1845,2641,0
did:plc:wni5evwy3iaagb4gmkossaz7,jordanscarroll.bsky.social,4488,3994,4044,0
did:plc:72jpccg3u3vbohc67rqrplei,grrrck.xyz,4128,2809,286,0
did:plc:faxvaqx4xnabwhxea5qqij4b,yoavgo.bsky.social,6672,934,1364,0
did:plc:2aumdq7odforvxlyxucofbov,jonkeegan.com,4085,4654,1086,1
did:plc:k3bynly7ikhpx43zkf5h2iue,crystaljjlee.com,13191,2984,1647,0
did:plc:t5ghc7dukfzr5rn27545laoy,ninalakhani.bsky.social,14735,594,696,0
did:plc:mzmtoehujifw6wpzlz3hdpni,aaronsojourner.org,31145,7363,15994,0
did:plc:m7bpdr773upmutkmymddgubh,coletteshade.bsky.social,2268,807,2500,0
did:plc:2k77kngw6l3q27pitvz7lh2b,jenramose.online,6056,420,19334,0
