uri,author_handle,created_at,is_repost,is_reply,reply_count,like_count,repost_count,quote_count,account,collected_at
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mnslrkd6ok2g,bsky.app,2026-06-08T21:10:01.530Z,False,False,692,10338,2091,1281,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mni6hmaff22u,bsky.app,2026-06-04T17:45:11.965Z,False,False,637,14601,2116,539,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mndkh3ugst2b,bsky.app,2026-06-02T21:36:20.000Z,False,False,91,2085,388,70,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mmwmla3xph26,bsky.app,2026-05-28T18:09:50.000Z,False,False,527,3143,539,304,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mlvllqtnmk2g,bsky.app,2026-05-15T14:54:22.994Z,False,False,88,2211,182,30,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mlr7prm6g22c,bsky.app,2026-05-13T21:11:14.161Z,False,False,117,1271,233,17,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3ml7bvrr4yk2l,bsky.app,2026-05-06T18:02:27.843Z,False,False,51,889,79,11,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3ml54ry2iwc2x,bsky.app,2026-05-05T21:25:32.034Z,False,False,182,2496,412,200,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mk4lzkrnk22d,bsky.app,2026-04-22T23:00:21.312Z,False,False,2128,7248,1087,2104,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mk3sdiixhs2n,bsky.app,2026-04-22T15:20:37.187Z,False,False,109,1280,153,24,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mjxj5pui322g,bsky.app,2026-04-20T22:25:40.948Z,False,False,78,716,80,18,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mjwxhedylc2o,bsky.app,2026-04-20T17:08:57.065Z,False,False,278,5105,474,200,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mjprnr5ptk2m,bsky.app,2026-04-17T20:36:31.198Z,False,False,252,8169,1080,116,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mjpdn3rsmk2o,bsky.app,2026-04-17T16:25:36.402Z,False,False,349,10076,1572,188,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mjnlu7smsk2w,bsky.app,2026-04-16T23:47:25.963Z,False,False,1234,20592,4960,1391,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mjmlrpvc7c25,bsky.app,2026-04-16T14:13:22.425Z,False,False,858,8213,1749,602,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mjhun5ptvs2r,bsky.app,2026-04-14T17:08:34.139Z,False,False,177,2344,227,37,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mj3d77pcnc27,bsky.app,2026-04-09T17:24:35.985Z,False,False,205,5085,620,80,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mizb7z3cg22p,bsky.app,2026-04-08T21:43:55.633Z,False,False,191,3284,390,80,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mikijgvrhk2m,bsky.app,2026-04-03T00:44:32.239Z,False,False,73,2940,758,22,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mijtnu3py22u,bsky.app,2026-04-02T18:31:11.705Z,False,False,165,1742,166,47,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mijrmgxzfc2n,bsky.app,2026-04-02T17:54:36.914Z,False,False,31,1096,121,8,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mhgprzgahs2l,bsky.app,2026-03-19T19:18:45.699Z,False,False,3507,2944,359,122,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mhgg5ja5gc2w,bsky.app,2026-03-19T16:26:13.953Z,False,False,1891,4314,717,236,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mgnwwvj3u22a,bsky.app,2026-03-09T22:50:12.105Z,False,False,281,2056,694,43,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mgnknuoxp225,bsky.app,2026-03-09T19:10:24.356Z,False,False,332,1998,146,19,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mgnkm7zf7s25,bsky.app,2026-03-09T19:09:29.123Z,False,False,322,2347,208,17,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mggjs262vc2i,bsky.app,2026-03-07T00:06:12.400Z,False,False,238,3649,1979,56,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mgdqhzxy7s2u,bsky.app,2026-03-05T21:27:53.636Z,False,False,135,2270,336,58,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mgdqebsaqk2b,bsky.app,2026-03-05T21:25:47.618Z,False,False,82,3198,1594,65,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mgdifcgakc2e,bsky.app,2026-03-05T19:03:11.893Z,False,False,284,5993,1047,346,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mg3ybdpo7s2b,bsky.app,2026-03-02T19:26:00.995Z,False,False,55,1241,102,17,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mfl45k3q6s2l,bsky.app,2026-02-24T02:20:12.880Z,False,False,107,5929,476,38,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mfkhetnvdk2p,bsky.app,2026-02-23T20:08:29.214Z,False,False,255,6240,1157,413,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mf32ydgqn223,bsky.app,2026-02-17T17:16:48.572Z,False,False,93,1907,297,18,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mehkcsk62c2u,bsky.app,2026-02-09T22:57:51.314Z,False,False,173,10763,947,115,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mehbtjykb22n,bsky.app,2026-02-09T20:26:09.100Z,False,False,202,6892,790,147,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mehblstckk2e,bsky.app,2026-02-09T20:21:49.929Z,False,False,912,15723,3391,2434,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mdni342e422l,bsky.app,2026-01-30T14:08:32.168Z,False,False,464,8121,989,155,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mdjcrkcav22j,bsky.app,2026-01-28T22:23:03.899Z,False,False,87,8439,5607,353,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mdjby5ifhc2e,bsky.app,2026-01-28T22:08:51.609Z,False,False,312,2633,448,219,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mdbijyi5qk27,bsky.app,2026-01-25T19:44:54.882Z,False,False,140,1791,266,73,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mcibiyf7fs2r,bsky.app,2026-01-15T19:02:31.579Z,False,False,1010,2844,328,1252,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mcibezwvxk2g,bsky.app,2026-01-15T19:00:18.987Z,False,False,367,6274,1504,800,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mbuch6tggk2f,bsky.app,2026-01-07T20:26:10.201Z,False,False,343,5247,572,104,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mbhel6ij7s2y,bsky.app,2026-01-02T16:59:34.947Z,False,False,126,3879,929,173,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mbb4vo2ah22j,bsky.app,2025-12-31T05:26:18.433Z,False,False,139,4883,1634,74,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3ma5gwktd2s2c,bsky.app,2025-12-17T00:49:55.455Z,False,False,919,3504,662,1322,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3m7j472sanc2f,bsky.app,2025-12-08T22:44:34.704Z,False,False,439,4461,494,241,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3m6zx562tss2c,bsky.app,2025-12-02T22:04:06.239Z,False,False,134,2278,353,169,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3m5yqexldn22q,bsky.app,2025-11-19T17:05:20.315Z,False,False,276,6744,624,169,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3m5yqc2is5s2q,bsky.app,2025-11-19T17:03:42.715Z,False,False,147,3192,519,68,bsky.app,2026-06-10T11:00:20+00:00
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3m5ypzhscb22q,bsky.app,2025-11-19T16:58:54.664Z,False,False,167,3429,561,95,bsky.app,2026-06-10T11:00:20+00:00
