uri,author,created_at,text_length,embed_class,n_images,n_images_with_alt,alt_text,external_domain,external_uri,like_count,repost_count
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mnslrkd6ok2g,bsky.app,2026-06-08T21:10:01.530Z,207,images,5,5,"We've increased the number of photos you can attach to a post from 4 to 10. That's why we're adding a carousel. | The carousel only shows for posts with at least 5 photos.
Old posts with photos will continue to show the regular grid layout. | Each photo displays a numbered badge to make it super clear there are more photos to browse. | We've improved the gesture handling so you don't accidentally open the drawer menu or go back/forward in your browser while swiping. | We're always eager to hear your feedback. Let us know your thoughts about the new carousel!",,,10407,2108
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mni6hmaff22u,bsky.app,2026-06-04T17:45:11.965Z,97,none,0,0,,,,14609,2117
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mndkh3ugst2b,bsky.app,2026-06-02T21:36:20.000Z,261,none,0,0,,,,2086,388
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mmwmla3xph26,bsky.app,2026-05-28T18:09:50.000Z,177,images,1,1,"The Bluesky and Standard.site logos sharing an emoji handshake above examples of the new, dynamic link cards.",,,3143,539
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mlvllqtnmk2g,bsky.app,2026-05-15T14:54:22.994Z,128,record,0,0,,,,2211,182
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mlr7prm6g22c,bsky.app,2026-05-13T21:11:14.161Z,25,record,0,0,,,,1271,233
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3ml7bvrr4yk2l,bsky.app,2026-05-06T18:02:27.843Z,128,record,0,0,,,,889,79
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3ml54ry2iwc2x,bsky.app,2026-05-05T21:25:32.034Z,190,images,1,1,Demonstration of where the Germ DM button appears on your Bluesky profile after you pair your accounts within the Germ DM app.,,,2496,412
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mk4lzkrnk22d,bsky.app,2026-04-22T23:00:21.312Z,254,video,0,0,,,,7248,1087
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mk3sdiixhs2n,bsky.app,2026-04-22T15:20:37.187Z,248,external,0,0,,davidimel.substack.com,https://davidimel.substack.com/p/bluesky-is-looking-for-its-myspace,1280,153
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mjxj5pui322g,bsky.app,2026-04-20T22:25:40.948Z,139,record,0,0,,,,716,80
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mjwxhedylc2o,bsky.app,2026-04-20T17:08:57.065Z,199,none,0,0,,,,5105,474
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mjprnr5ptk2m,bsky.app,2026-04-17T20:36:31.198Z,281,none,0,0,,,,8169,1080
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mjpdn3rsmk2o,bsky.app,2026-04-17T16:25:36.402Z,259,none,0,0,,,,10076,1572
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mjnlu7smsk2w,bsky.app,2026-04-16T23:47:25.963Z,236,none,0,0,,,,20592,4960
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mjmlrpvc7c25,bsky.app,2026-04-16T14:13:22.425Z,163,external,0,0,,status.bsky.app,https://status.bsky.app,8213,1749
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mjhun5ptvs2r,bsky.app,2026-04-14T17:08:34.139Z,208,record,0,0,,,,2344,227
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mj3d77pcnc27,bsky.app,2026-04-09T17:24:35.985Z,225,record,0,0,,,,5085,620
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mizb7z3cg22p,bsky.app,2026-04-08T21:43:55.633Z,300,none,0,0,,,,3284,390
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mikijgvrhk2m,bsky.app,2026-04-03T00:44:32.239Z,118,record,0,0,,,,2940,758
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mijtnu3py22u,bsky.app,2026-04-02T18:31:11.705Z,152,record,0,0,,,,1742,166
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mijrmgxzfc2n,bsky.app,2026-04-02T17:54:36.914Z,87,record,0,0,,,,1096,121
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mhgprzgahs2l,bsky.app,2026-03-19T19:18:45.699Z,194,external,0,0,,bsky.social,https://bsky.social/about/blog/03-19-2026-series-b,2945,359
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mhgg5ja5gc2w,bsky.app,2026-03-19T16:26:13.953Z,217,images,1,1,A screenshot demonstrating how bot labels appear on profiles in the Bluesky app.,,,4314,717
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mgnwwvj3u22a,bsky.app,2026-03-09T22:50:12.105Z,206,external,0,0,,bsky.social,https://bsky.social/about/blog/03-09-2026-a-new-chapter-for-bluesky-jp,2056,694
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mgnknuoxp225,bsky.app,2026-03-09T19:10:24.356Z,26,record,0,0,,,,1998,146
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mgnkm7zf7s25,bsky.app,2026-03-09T19:09:29.123Z,53,record,0,0,,,,2347,208
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mggjs262vc2i,bsky.app,2026-03-07T00:06:12.400Z,220,external,0,0,,bsky.social,https://bsky.social/about/blog/03-06-2026-reliable-information-action-jp,3649,1979
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mgdqhzxy7s2u,bsky.app,2026-03-05T21:27:53.636Z,177,video,0,0,,,,2270,336
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mgdqebsaqk2b,bsky.app,2026-03-05T21:25:47.618Z,99,images,1,1,「Translate」ボタンをタップすると、アプリを離れることなく投稿を翻訳できることを表すBlueskyアプリのデモ画面。,,,3198,1594
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mgdifcgakc2e,bsky.app,2026-03-05T19:03:11.893Z,190,images,1,1,"A screenshot of the Bluesky app demonstrating how you can now tap the ""Translate"" button to translate a post without leaving the app.",,,5993,1047
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mg3ybdpo7s2b,bsky.app,2026-03-02T19:26:00.995Z,34,record,0,0,,,,1241,102
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mfl45k3q6s2l,bsky.app,2026-02-24T02:20:12.880Z,8,record,0,0,,,,5929,476
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mfkhetnvdk2p,bsky.app,2026-02-23T20:08:29.214Z,272,external,0,0,,caribouband.bandcamp.com,https://caribouband.bandcamp.com/album/butterfly,6240,1157
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mf32ydgqn223,bsky.app,2026-02-17T17:16:48.572Z,44,record,0,0,,,,1907,297
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mehkcsk62c2u,bsky.app,2026-02-09T22:57:51.314Z,75,images,1,0,,,,10762,946
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mehbtjykb22n,bsky.app,2026-02-09T20:26:09.100Z,148,video,0,0,,,,6892,790
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mehblstckk2e,bsky.app,2026-02-09T20:21:49.929Z,106,images,1,1,A demonstration of where you can find the drafts feature in the top right corner of the post composer on Bluesky.,,,15723,3391
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mdni342e422l,bsky.app,2026-01-30T14:08:32.168Z,298,external,0,0,,bsky.social,https://bsky.social/about/blog/01-29-2026-transparency-report-overview,8121,989
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mdjcrkcav22j,bsky.app,2026-01-28T22:23:03.899Z,128,external,0,0,,bsky.social,https://bsky.social/about/blog/01-28-2026-bluesky-2026-predictions-jp,8438,5607
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mdjby5ifhc2e,bsky.app,2026-01-28T22:08:51.609Z,247,external,0,0,,bsky.social,https://bsky.social/about/blog/01-28-2026-bluesky-2026-predictions,2633,448
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mdbijyi5qk27,bsky.app,2026-01-25T19:44:54.882Z,286,record,0,0,,,,1791,266
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mcibiyf7fs2r,bsky.app,2026-01-15T19:02:31.579Z,173,none,0,0,,,,2844,328
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mcibezwvxk2g,bsky.app,2026-01-15T19:00:18.987Z,297,images,1,1,"A preview of the Live Now feature, showing the popup that appears when someone is live streaming and you click their avatar.",,,6274,1504
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mbuch6tggk2f,bsky.app,2026-01-07T20:26:10.201Z,297,none,0,0,,,,5247,572
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mbhel6ij7s2y,bsky.app,2026-01-02T16:59:34.947Z,286,record,0,0,,,,3879,929
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3mbb4vo2ah22j,bsky.app,2025-12-31T05:26:18.433Z,253,images,1,1,Bluesky is growing in Japan,,,4883,1634
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3ma5gwktd2s2c,bsky.app,2025-12-17T00:49:55.455Z,293,images,1,0,,,,3504,662
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3m7j472sanc2f,bsky.app,2025-12-08T22:44:34.704Z,290,none,0,0,,,,4461,494
