metric,value,category,annotator,validated_at
n_gold_posts,60.0,,keyword_baseline_v1,2026-06-10
accuracy,0.7833,,keyword_baseline_v1,2026-06-10
percent_agreement,0.7833,,keyword_baseline_v1,2026-06-10
cohen_kappa,0.6402,,keyword_baseline_v1,2026-06-10
precision,1.0,politics,keyword_baseline_v1,2026-06-10
recall,0.7368,politics,keyword_baseline_v1,2026-06-10
f1-score,0.8485,politics,keyword_baseline_v1,2026-06-10
precision,0.875,science_tech,keyword_baseline_v1,2026-06-10
recall,0.7,science_tech,keyword_baseline_v1,2026-06-10
f1-score,0.7778,science_tech,keyword_baseline_v1,2026-06-10
precision,0.5,other,keyword_baseline_v1,2026-06-10
recall,1.0,other,keyword_baseline_v1,2026-06-10
f1-score,0.6667,other,keyword_baseline_v1,2026-06-10
