author_hash,timestamp,lang,is_reply,has_embed,has_image
c4ebb793604e,2026-06-10 11:00:03.751318+00:00,de,False,False,False
0a71b80a872b,2026-06-10 11:00:03.802496+00:00,en,False,False,False
04b0d235c0de,2026-06-10 11:00:03.848933+00:00,,False,False,False
f3dba229b577,2026-06-10 11:00:04.019363+00:00,ja,False,True,True
4772d1d57faf,2026-06-10 11:00:04.516206+00:00,en,True,False,False
3dc46e2d3bc3,2026-06-10 11:00:04.915121+00:00,en,True,False,False
cf1f577d3165,2026-06-10 11:00:05.332463+00:00,en,False,False,False
820196740336,2026-06-10 11:00:05.844669+00:00,fr,True,False,False
575d4ef72863,2026-06-10 11:00:05.971141+00:00,en,True,False,False
f215747ae3bb,2026-06-10 11:00:06.148358+00:00,,False,True,True
b61c56468500,2026-06-10 11:00:06.342337+00:00,,False,False,False
50a84b9de319,2026-06-10 11:00:06.430689+00:00,,False,True,True
487cfe399068,2026-06-10 11:00:06.688105+00:00,ne,False,False,False
632b37dfa94b,2026-06-10 11:00:06.820232+00:00,,False,False,False
53d78dae4d27,2026-06-10 11:00:07.001168+00:00,,False,True,True
1fdeebd5b706,2026-06-10 11:00:07.190395+00:00,en,False,False,False
9939132b4ca2,2026-06-10 11:00:07.531019+00:00,,False,True,False
eabfa42ba79d,2026-06-10 11:00:08.167576+00:00,en,False,True,False
9ceb53563ecc,2026-06-10 11:00:08.204645+00:00,,False,True,True
443e01f616c1,2026-06-10 11:00:08.247041+00:00,,False,True,False
f5f68ab1bafa,2026-06-10 11:00:08.650195+00:00,,False,True,False
72ac683e9092,2026-06-10 11:00:09.289639+00:00,,False,False,False
9e02cab2fb1c,2026-06-10 11:00:09.385657+00:00,ja,True,False,False
a5279a07fa4c,2026-06-10 11:00:09.509111+00:00,en,False,True,False
fada1eec8e5f,2026-06-10 11:00:09.818486+00:00,en,True,True,False
1dc8d79491da,2026-06-10 11:00:10.207736+00:00,en,False,True,False
b7fa950361f2,2026-06-10 11:00:10.305546+00:00,,False,True,True
a1dab60bb78a,2026-06-10 11:00:10.724123+00:00,ja,False,False,False
0c969bbb619d,2026-06-10 11:00:11.275194+00:00,,False,False,False
490856d21857,2026-06-10 11:00:11.332712+00:00,,False,False,False
ae4ed46abcca,2026-06-10 11:00:11.546202+00:00,fr-FR,False,True,False
f7aa34331af4,2026-06-10 11:00:11.624378+00:00,,False,True,True
70dd1047248b,2026-06-10 11:00:11.926903+00:00,ja-JP,False,True,False
d966f0d3d2c4,2026-06-10 11:00:12.816723+00:00,,False,True,True
0d07ecd2d776,2026-06-10 11:00:12.932161+00:00,,False,True,False
5e6a978ee55e,2026-06-10 11:00:13.517336+00:00,en,False,True,True
f0c81218798c,2026-06-10 11:00:14.254960+00:00,ko,False,False,False
5bc573432deb,2026-06-10 11:00:14.533558+00:00,ja,False,True,True
7759bdd103a1,2026-06-10 11:00:14.539159+00:00,,True,False,False
ccd379e2e4cc,2026-06-10 11:00:14.553921+00:00,,False,True,False
5828a648fead,2026-06-10 11:00:14.758056+00:00,de-DE,False,True,False
7c5a43526045,2026-06-10 11:00:15.071487+00:00,,False,True,True
70d7b24e3b25,2026-06-10 11:00:15.253818+00:00,de,True,False,False
a197abe9e041,2026-06-10 11:00:15.573326+00:00,ja,False,False,False
